id,division,summary,likeCount,s1,s2,s3,total,rationale
13166,LOCAL,"장애인과 독거노인을 위한 맞춤 심부름 및 돌봄 서비스를 제공하고, 돌봄 창업자를 지원하는 지역사회 맞춤형 플랫폼입니다.",0,4,4,5,13,"돌봄 심부름 플랫폼, 차별성 약함. 지역가치 일반적"
13142,LOCAL,제주도 특색 감귤과 번행초의 조합,0,6,8,5,19,"제주 감귤과 번행초 조합, 지역성 좋음. 구체성 부족"
13144,LOCAL,와송을 이용한 화장품 개발,0,5,6,5,16,"와송 화장품, 소재 독특. 실행 구체성 부족"
13141,LOCAL,어디서든 급할때 다림질 할수있는 나만의 미니수선집,0,5,2,4,11,"이동식 수선집, 지역성 없음. 틈새지만 확장 제한"
13106,LOCAL,"모두의 이음터 (부산형 발달장애인 , 지역주민 통합 복합문화공간)",0,5,7,4,16,"부산 발달장애인 통합공간, 지역복지 연계. 확장 어려움"
11315,LOCAL,"1인 여행자를 위한 핵심관광 거점 개발: 완전조립식 모듈러 숙박공간, 캐빈호텔",0,6,5,7,18,"모듈러 캐빈호텔, 1인여행 타깃 명확. 확장 가능"
10994,LOCAL,신뢰와 기술로 고객의 안전을 책임지는 자동차 정비 서비스,1,3,2,4,9,"일반 자동차 정비, 차별성 없음"
13073,LOCAL,"""외국인은 이미 스낵으로 즐기는 김, 한국인도 캡슐커피처럼 — 취향대로 바로 즐기는 식탁용 김 구이기""",1,7,4,7,18,"식탁용 김 구이기, 제품 아이디어 독창적. 지역성 약함"
13070,LOCAL,내가 살아온 길은 하나 한식! 누구나 만족할수 있는 돼지고기집을 만들자!,1,2,3,3,8,"일반 돼지고기집, 차별성 없음"
12995,LOCAL,가족의 쉼터가 되는 자연 친화적인 소규모 캠핑장,0,3,4,4,11,"소규모 캠핑장, 흔함. 구체성 부족"
12953,LOCAL,공산품 매출 축소로인해 지역마트가 사라져가고있어요. 온라인과의 경쟁에서 뒤쳐지지 않으려면 신선제품으로 mz세대들의 니즈를충족시키고 다시 재도약할수 있을꺼라 생각합니다,0,3,4,3,10,"지역마트 신선제품 전환, 막연함"
3456,LOCAL,"타보고 결정하는 자전거 문화, 광주를 거점으로 한 '테스트 라이딩 센터'",0,6,6,6,18,"광주 거점 자전거 테스트 라이딩, 구체적. 확장 보통"
12911,LOCAL,"재료부터 음식까지 전부 강원도! 전통을 담은 감자옹심이 밀키트, 감자바우",0,6,8,6,20,"강원도 감자옹심이 밀키트, 지역 식재료 명확"
12839,LOCAL,외부 음료 환영 카페 커피와 디저트가 자연스럽게 들리는 작은 도구,0,4,2,4,10,"외부 음료 환영 카페, 차별성 약함"
12850,LOCAL,AI가 개인 식습관·건강 데이터를 분석해서 오늘 먹을 메뉴를 자동 추천하고 재료까지 주문해주는 서비스,0,4,1,6,11,"AI 식단 추천, 기존 서비스 다수. 로컬성 없음"
12844,LOCAL,무인애견카페를 통한 반려인 공간 생성,0,4,3,5,12,"무인 애견카페, 일반적"
12849,LOCAL,"낮에는 브런치카페, 밤에는 디너펍",0,3,2,4,9,"브런치카페 겸 디너펍, 흔한 조합"
12847,LOCAL,정책자금 브로커를 잡는 브로커,0,6,2,5,13,"정책자금 브로커 잡는 브로커, 발상 재미있으나 실행 모호"
12817,LOCAL,광주 로컬 식재료와 공공 인프라를 활용한 '로컬-에코 스몰 웨딩 플랫폼,2,7,8,6,21,"광주 식재료 로컬 에코 스몰웨딩, 지역 연계 강함"
12773,LOCAL,현대인의 힐링 공간 <마레스트 (MARREST)>,1,4,3,4,11,"힐링 공간, 구체성 부족"
12759,LOCAL,부산의 기록을 콘텐츠로 남기는 로컬문화카페,1,6,7,5,18,"부산 기록 콘텐츠 로컬카페, 지역성 명확"
12786,LOCAL,"아이들과 장애인의 소중한 그림을 AI로 예쁘게 다듬어, 기업과 공공기관의 착한 디자인으로 만들어주는 서비스",0,7,4,6,17,"장애인 그림 AI 디자인 서비스, 사회적 가치 높음"
4286,LOCAL,모두의 투명한 물가,0,4,3,4,11,"투명한 물가, 막연함"
12496,LOCAL,"""지역의 유휴 공간을 세상에 없던 특별한 아지트로, 턱시도 고양이 도비가 배달하는 국내 최초 이동형 프라이빗 라운지 '마이룸'""",0,7,5,6,18,"이동형 프라이빗 라운지 아지트, 독창적 컨셉"
12767,LOCAL,"기계는 관찰만 하고 경찰은 오기 힘든 그 찰나, 신원 검증된 '동네 보안관'이 즉시 달려와 당신의 집 앞 복도와 거실의 안전을 직접 확인해 주는 1인 가구 밀착 방어 플랫폼입니다.",1,7,4,6,17,"1인가구 동네 보안관, 구체적 문제 해결"
12736,LOCAL,꿀을 이용한 로컬푸드,0,3,5,4,12,"꿀 로컬푸드, 구체성 부족"
12727,LOCAL,지역 농부들과 연계하여 우울증겪는 학생들 농촌체험. 농부들은 식사제공 고기파티,0,5,7,5,17,"제주 귤차, 발상 전환만 언급"
12703,LOCAL,자기 질문과 실천 루틴으로 삶의 기준을 만들어가는 멤버십 공간,1,5,3,5,13,"질문 루틴 멤버십 공간, 추상적"
12671,LOCAL,"AI 안면 분석과 K-뷰티 리얼 콘텐츠를 결합한, 외국인 맞춤형 한국 의료관광 큐레이션 플랫폼 (가칭 : 마일룩)",1,7,5,8,20,"AI 의료관광 큐레이션, 외국인 타깃 명확"
12376,LOCAL,지역특산물을 활용한 반려동물 기능성 펫푸드,1,5,7,6,18,"지역특산물 펫푸드, 구체성 보통"
12658,LOCAL,Da Capo 다 카포 처음으로 돌아가 다시 연주하라,1,3,2,3,8,"Da Capo 슬로건뿐, 구체성 없음"
12642,LOCAL,아이와 여성이 함께 배우는 바둑센터,0,4,2,4,10,"여성 아이 바둑센터, 틈새이나 확장 제한"
