id,division,summary,likeCount,createdAt
13178,TECH,폐자원을 재활용한 업싸이클링 원예 DIY키트 제작판매 교육서비스,0,2026-04-09T01:58:12Z
13175,TECH,무인 가차샵 창업 도전!,0,2026-04-09T01:56:07Z
13147,TECH,1인 경영에 최적화된 특허 기술(특허명칭: 손잡이 달린 식용 피복재)을 이용한 소자본 창업 모델.,1,2026-04-09T01:45:01Z
13164,TECH,그래핀을 이용한 차세대 세차 케미컬,0,2026-04-09T01:39:52Z
13166,LOCAL,"장애인과 독거노인을 위한 맞춤 심부름 및 돌봄 서비스를 제공하고, 돌봄 창업자를 지원하는 지역사회 맞춤형 플랫폼입니다.",0,2026-04-09T01:38:17Z
13137,TECH,일상의 기록을 인공지능으로 분석하여 개인의 정서적 상태에 최적화된 문장과 도서를 추천하는 텍스트 테라피 플랫폼,0,2026-04-09T01:37:40Z
13142,LOCAL,제주도 특색 감귤과 번행초의 조합,0,2026-04-09T01:34:28Z
13144,LOCAL,와송을 이용한 화장품 개발,0,2026-04-09T01:34:06Z
13167,TECH,산부인과 전문의가  개발한 대나무와 옥수수를 조합한 메디컬 프리미엄 생리대,0,2026-04-09T01:32:11Z
13169,TECH,내위치에서 바로 바로  찾아 볼 수 있는 지역별 관광상품과 관광명소 소개 어플,0,2026-04-09T01:30:44Z
11879,TECH,유실 위험 없이 반려묘의 야외 본능을 충족하고 실내 공간 제약을 해결하는 4-in-1 다목적 모빌리티,0,2026-04-09T01:16:25Z
13149,TECH,로봇 자동 티칭 시스템 개발,0,2026-04-09T01:14:51Z
13159,TECH,"여행을 가고 싶지만 계획 세우기가 막막한 분들을 위해, 간단한 설문 응답만으로 나에게 딱 맞는 여행 일정을 자동으로 만들어드립니다.",0,2026-04-09T01:14:47Z
13128,TECH,"별도의 서버 구축 없이 브라우저에서 바로 실행되며, LLM이 설계하고 검증까지 마친 결과를 제공하는 웹 기반 머신러닝 솔루션",0,2026-04-09T01:02:24Z
12110,TECH,"""나도 1인 유니콘 기업 CEO""의 꿈에만 집중할 수 있게 반복 운영업무를 표준화 및 자동화해 본업 집중도를 높여 주는 AI 업무 매니저",0,2026-04-09T01:01:24Z
13141,LOCAL,어디서든 급할때 다림질 할수있는 나만의 미니수선집,0,2026-04-09T00:55:56Z
13119,TECH,한국인 영양소 섭취 기준 데이터와 영유아 제조기준을 반영한 영유아 건강기능식품,0,2026-04-09T00:51:20Z
13101,TECH,MAPGO - Plan and share your adventures. ( 맵고 - 내여행플랜을 공유하다),0,2026-04-09T00:50:06Z
13107,TECH,웨어러블 비접촉 혈액 정화 장치,0,2026-04-09T00:40:27Z
13127,TECH,나만의 옷 만들기 디자인해서 팔기,0,2026-04-09T00:37:03Z
545,TECH,덤프트럭 매매/정산 등 덤프운수업과 관련한 시스템 구축,0,2026-04-09T00:35:59Z
13106,LOCAL,"모두의 이음터 (부산형 발달장애인 , 지역주민 통합 복합문화공간)",0,2026-04-09T00:34:23Z
11315,LOCAL,"1인 여행자를 위한 핵심관광 거점 개발: 완전조립식 모듈러 숙박공간, 캐빈호텔",0,2026-04-09T00:22:38Z
8618,TECH,비 오는 날 찝찝한 우산은 싫어!,0,2026-04-09T00:18:12Z
13097,TECH,배우 오디션 어플제작,0,2026-04-09T00:12:22Z
10994,LOCAL,신뢰와 기술로 고객의 안전을 책임지는 자동차 정비 서비스,1,2026-04-08T22:50:41Z
13077,TECH,누구나 매일 쓰고 성장하는 AI 기반 글쓰기 플랫폼,1,2026-04-08T21:55:29Z
13073,LOCAL,"""외국인은 이미 스낵으로 즐기는 김, 한국인도 캡슐커피처럼 — 취향대로 바로 즐기는 식탁용 김 구이기""",1,2026-04-08T21:15:26Z
13071,TECH,"공부할 기반조차 없는 소규모 국가자격시험, 모든 수험생이 제대로 준비할 수 있는 기출문제 플랫폼",0,2026-04-08T20:09:40Z
13072,TECH,도전 K뷰티_건강 천년소재 ODM 생산 기업,0,2026-04-08T20:05:23Z
12325,TECH,[밥 안 먹는 아이를 스스로 먹게 돕는 식사 코칭 서비스] 식탁위의 다정한 꼬마 선생님 '냠냠AI',0,2026-04-08T20:00:39Z
13070,LOCAL,내가 살아온 길은 하나 한식! 누구나 만족할수 있는 돼지고기집을 만들자!,1,2026-04-08T19:41:58Z
13064,TECH,"이불를 동굴처럼 만들어 사용하면 이불속에서 불빛차단,속삭임,포근함,아이들의 정서에 좋음",0,2026-04-08T19:01:15Z
13063,TECH,안경 구매시대를 떠나 렌탈의 세계로,0,2026-04-08T18:00:05Z
13059,TECH,"관리가 잘 되지 않는 아파트, 공공기관, 사내 헬스장 기구들을 국가기술자격증(기계정비산업기사)들이  대신 관리해주는 업체",0,2026-04-08T17:35:13Z
13049,TECH,자전거역사 230여년만에 한국에서 독자 개발되고있는 인체공학융복합생산기술 신체보호안장 100%AIR SADDLE 자전거바퀴에 공기넣듯이 안장에도 똑같이 에어주입 밸브시스템 에어안장,0,2026-04-08T16:41:23Z
13002,TECH,"낙첨 로또에 두 번째 기회를 더하고, 로또 재도전이 늘어날수록 기부금에 함께 커지는 참여형 리워드 플랫폼 '두기'",0,2026-04-08T16:14:39Z
13043,TECH,외국인 관광객 유입을 통한 국내 산업 발전,0,2026-04-08T15:48:17Z
12946,TECH,일상의 보습 공백을 채우는 '입는 보습제'와 데이터 기반 스마트 메디컬 솔루션,0,2026-04-08T15:29:36Z
13030,TECH,"""3D Max 기반의 역설계 기술을 통한, 단종된 산업 장비 및 가구 부속품 정밀 복원·소량 생산 솔루션""",0,2026-04-08T15:22:49Z
12458,TECH,"마지막 한 방울까지 낭비 없이! 비닐 쓰레기 제로, '먹을 수 있는 캡슐 캡슐/블록 스프'""",0,2026-04-08T15:09:51Z
5276,TECH,물처럼 가볍고 크림처럼 깊게 흡수되는 신개념 손상모 트리트먼트,1,2026-04-08T15:00:01Z
13017,TECH,이사와 입주청소 및 후처리를 한번에 할 수 있은 모바일 앱,0,2026-04-08T14:45:10Z
13012,TECH,1:1 심층 상담 기반의 시기능 교정 특화 예약제 안경원,0,2026-04-08T14:36:32Z
4475,TECH,"카페의 편안함과 코워킹 스페이스의 기능성을 결합한, 우리동네 기반 워크 라운지 '피터스룸'",0,2026-04-08T14:24:38Z
12999,TECH,"스마트폰 하나로 만드는 노트북 없는 도시, 초연결 터치 인프라 ‘터치 스테이션'",0,2026-04-08T14:12:32Z
12968,TECH,새로운 부동산 거래 문화를 위한 커넥티드 트랜잭션 부동산 거래 플랫폼,0,2026-04-08T14:08:57Z
12995,LOCAL,가족의 쉼터가 되는 자연 친화적인 소규모 캠핑장,0,2026-04-08T14:02:08Z
